time,price
2006-01-02,7500
2006-01-03,7500
2006-01-04,7500
2006-01-05,7500
2006-01-06,7500
2006-01-09,7100
2006-01-10,7100
2006-01-11,7100
2006-01-12,7100
2006-01-13,6400
2006-01-15,6400
2006-01-16,6400
2006-01-17,6400
2006-01-18,5700
2006-01-19,5700
2006-01-20,5700
2006-01-23,5700
2006-01-24,5700
2006-01-25,5700
2006-01-26,5700
2006-01-27,5700
2006-01-31,5700
2006-02-01,5700
2006-02-02,5700
2006-02-03,7100
2006-02-06,7100
2006-02-07,7100
2006-02-08,7900
2006-02-09,7900
2006-02-10,7900
2006-02-13,7900
2006-02-14,7100
2006-02-15,7100
2006-02-16,7100
2006-02-17,7100
2006-02-20,7100
2006-02-21,7100
2006-02-22,6400
2006-02-23,6400
2006-02-24,6400
2006-02-27,6400
2006-02-28,7100
2006-03-02,7900
2006-03-03,8600
2006-03-06,8600
2006-03-07,8600
2006-03-08,8600
2006-03-09,8600
2006-03-10,8600
2006-03-13,8600
2006-03-14,8600
2006-03-15,8600
2006-03-16,8600
2006-03-17,8600
2006-03-20,8600
2006-03-21,8600
2006-03-22,8600
2006-03-23,9300
2006-03-24,9300
2006-03-27,9300
2006-03-28,9300
2006-03-29,9300
2006-03-30,9300
2006-03-31,9300
2006-04-03,9300
2006-04-04,9300
2006-04-05,9300
2006-04-06,9300
2006-04-07,9300
2006-04-10,9300
2006-04-11,9300
2006-04-12,9300
2006-04-13,9300
2006-04-14,9300
2006-04-17,8600
2006-04-18,8600
2006-04-19,8600
2006-04-20,9300
2006-04-21,9300
2006-04-24,9300
2006-04-25,9300
2006-04-26,8600
2006-04-27,8600
2006-04-28,8600
2007-01-15,2900
2007-01-16,2900
2007-01-17,2500
2007-01-18,2500
2007-01-19,2500
2007-01-22,2500
2007-01-23,2500
2007-01-24,2100
2007-01-25,2100
2007-01-26,2100
2007-01-29,2100
2007-01-30,2100
2007-01-31,2100
2007-02-01,2100
2007-02-02,2100
2007-02-05,2100
2007-02-06,2100
2007-02-07,2100
2007-02-08,2100
2007-02-09,2100
2007-02-12,1700
2007-02-13,1700
2007-02-14,1700
2007-02-15,1700
2007-02-16,1700
2007-02-20,1700
2007-02-21,1700
2007-02-22,2100
2007-02-23,2100
2007-02-26,2100
2007-02-27,2100
2007-02-28,2100
2007-03-02,2100
2007-03-05,2100
2007-03-06,2100
2007-03-07,2100
2007-03-08,2500
2007-03-09,2500
2007-03-12,2100
2007-03-13,2100
2007-03-14,2100
2007-03-15,2100
2007-03-16,2100
2007-03-19,2500
2007-03-20,2500
2007-03-21,2500
2007-03-22,2900
2007-03-23,2900
2007-03-26,2900
2007-03-27,2900
2007-03-28,2900
2007-03-29,2900
2007-03-30,3300
2007-04-02,2900
2007-04-03,2900
2007-04-04,2900
2007-04-05,2900
2007-04-06,2900
2007-04-09,2500
2007-04-10,2500
2007-04-11,2500
2007-04-12,2500
2007-04-13,2500
2007-04-16,2900
2007-04-17,2900
2007-04-18,2900
2007-04-19,2900
2007-04-20,2900
2007-04-23,2900
2007-04-24,2900
2007-04-25,2900
2007-04-26,2900
2007-04-27,2900
2007-04-30,2900
2008-01-08,5000
2008-01-09,5000
2008-01-10,5000
2008-01-11,5000
2008-01-14,5000
2008-01-15,5000
2008-01-16,5000
2008-01-17,5000
2008-01-18,5000
2008-01-21,5000
2008-01-22,5000
2008-01-23,5000
2008-01-24,5000
2008-01-25,5000
2008-01-28,4200
2008-01-29,4200
2008-01-30,4200
2008-01-31,4200
2008-02-01,4200
2008-02-04,4200
2008-02-05,4200
2008-02-11,4200
2008-02-12,4200
2008-02-13,4200
2008-02-14,4200
2008-02-15,4200
2008-02-18,4200
2008-02-19,4200
2008-02-20,4200
2008-02-21,3300
2008-02-22,3300
2008-02-25,3300
2008-02-26,3300
2008-02-27,3300
2008-02-28,3300
2008-02-29,4200
2008-03-03,4200
2008-03-04,4200
2008-03-05,4200
2008-03-06,3300
2008-03-07,3300
2008-03-10,3300
2008-03-11,3800
2008-03-12,3800
2008-03-13,3800
2008-03-14,3800
2008-03-17,3800
2008-03-18,3300
2008-03-19,3300
2008-03-20,3300
2008-03-21,3300
2008-03-24,3300
2008-03-25,3300
2008-03-26,4200
2008-03-27,4200
2008-03-28,4200
2008-03-31,5000
2008-04-01,5000
2008-04-02,5000
2008-04-03,5000
2008-04-04,5000
2008-04-07,5000
2008-04-08,5000
2008-04-10,5000
2008-04-11,5000
2008-04-14,5000
2008-04-15,5000
2008-04-16,5000
2008-04-17,5000
2008-04-18,5000
2008-04-21,5000
2008-04-22,5000
2008-04-23,5000
2008-04-24,4200
2008-04-25,4200
2008-04-28,5000
2008-04-29,5000
2008-04-30,5000
2009-01-15,4000
2009-01-16,4000
2009-01-19,4000
2009-01-20,4000
2009-01-21,4000
2009-01-22,4000
2009-01-23,4000
2009-01-28,4000
2009-01-29,4000
2009-01-30,4000
2009-02-02,4000
2009-02-03,4000
2009-02-04,4000
2009-02-05,4000
2009-02-06,3500
2009-02-09,3500
2009-02-10,3500
2009-02-11,3500
2009-02-12,3500
2009-02-13,3500
2009-02-16,3500
2009-02-17,3500
2009-02-18,4000
2009-02-19,4000
2009-02-20,4000
2009-02-23,4000
2009-02-24,4500
2009-02-25,4500
2009-02-26,4500
2009-03-02,5000
2009-03-03,5500
2009-03-04,6000
2009-03-05,6000
2009-03-06,6000
2009-03-09,6000
2009-03-10,6000
2009-03-11,5500
2009-03-12,5500
2009-03-13,6000
2009-03-16,6000
2009-03-17,6000
2009-03-18,6000
2009-03-19,6000
2009-03-20,6500
2009-03-23,6500
2009-03-24,6500
2009-03-25,6500
2009-03-26,6500
2009-03-27,7000
2009-03-30,7000
2009-03-31,7500
2009-04-01,7500
2009-04-02,8000
2009-04-03,9000
2009-04-06,8000
2009-04-07,9500
2009-04-08,9500
2009-04-09,10000
2009-04-10,10000
2009-04-13,10000
2009-04-14,10000
2009-04-15,12000
2009-04-16,12000
2009-04-17,12000
2009-04-20,12000
2009-04-21,12000
2009-04-22,12000
2009-04-23,13000
2009-04-24,13000
2009-04-27,15000
2009-04-28,16000
2009-04-29,16000
2009-04-30,16000
2010-01-20,5000
2010-01-21,5000
2010-01-22,5300
2010-01-25,5300
2010-01-26,5300
2010-01-27,5000
2010-01-28,5000
2010-01-29,5000
2010-02-01,5500
2010-02-02,6000
2010-02-03,6500
2010-02-04,6500
2010-02-05,7000
2010-02-08,8500
2010-02-09,8500
2010-02-10,8500
2010-02-11,8000
2010-02-12,8000
2010-02-16,8000
2010-02-17,8500
2010-02-18,8500
2010-02-19,8500
2010-02-22,8500
2010-02-23,8500
2010-02-24,8000
2010-02-25,8000
2010-02-26,8000
2010-03-02,8000
2010-03-03,8500
2010-03-04,9000
2010-03-05,10000
2010-03-08,10000
2010-03-09,10000
2010-03-10,10000
2010-03-11,10000
2010-03-12,10000
2010-03-15,10000
2010-03-16,10000
2010-03-17,10000
2010-03-18,10000
2010-03-19,11000
2010-03-22,11000
2010-03-23,11000
2010-03-24,15000
2010-03-25,15000
2010-03-26,15000
2010-03-29,15000
2010-03-30,15000
2010-03-31,15000
2010-04-01,15000
2010-04-02,15000
2010-04-05,15000
2010-04-06,15000
2010-04-07,15000
2010-04-08,15000
2010-04-09,15000
2010-04-12,14000
2010-04-13,14000
2010-04-14,13000
2010-04-15,13000
2010-04-16,15000
2010-04-19,15000
2010-04-20,14000
2010-04-21,14000
2010-04-22,14000
2010-04-23,13000
2010-04-26,13000
2010-04-27,13000
2010-04-28,13000
2010-04-29,13000
2010-04-30,13000
2011-01-01,12000
2011-01-02,12000
2011-01-03,13000
2011-01-04,14000
2011-01-05,14000
2011-01-08,13000
2011-01-09,13000
2011-01-10,13000
2011-01-11,13000
2011-01-12,13000
2011-01-15,13000
2011-01-16,13000
2011-01-17,13000
2011-01-18,13000
2011-01-19,13000
2011-01-22,13000
2011-01-23,13000
2011-01-24,13000
2011-01-25,13000
2011-01-26,13000
2011-01-29,13000
2011-01-30,13000
2011-02-05,11000
2011-02-06,11000
2011-02-07,11000
2011-02-08,11000
2011-02-09,11000
2011-02-12,12000
2011-02-13,12000
2011-02-14,12000
2011-02-15,12000
2011-02-16,12000
2011-02-19,13000
2011-02-20,13000
2011-02-21,13000
2011-02-22,13000
2011-02-23,13000
2011-02-26,13000
2011-02-28,14000
2011-03-01,14000
2011-03-02,14000
2011-03-05,14000
2011-03-06,14000
2011-03-07,14000
2011-03-08,14000
2011-03-09,14000
2011-03-12,13000
2011-03-13,13000
2011-03-14,14000
2011-03-15,14000
2011-03-16,13000
2011-03-19,13000
2011-03-20,13000
2011-03-21,13000
2011-03-22,13000
2011-03-23,13000
2011-03-26,12000
2011-03-27,12000
2011-03-28,12000
2011-03-29,12000
2011-03-30,12000
2011-04-02,12000
2011-04-03,12000
2011-04-04,12000
2011-04-05,11000
2011-04-06,11000
2011-04-09,11000
2011-04-10,11000
2011-04-11,10000
2011-04-12,9000
2011-04-13,8000
2011-04-16,8000
2011-04-17,7000
2011-04-18,7000
2011-04-19,7000
2011-04-20,7000
2011-04-23,7000
2011-04-24,7000
2011-04-25,7000
2011-04-26,7000
2011-04-27,7000
2012-01-05,3500
2012-01-06,3500
2012-01-09,3500
2012-01-10,3500
2012-01-11,3500
2012-01-12,3500
2012-01-13,3500
2012-01-16,3000
2012-01-17,3000
2012-01-18,3000
2012-01-19,3000
2012-01-20,3000
2012-01-25,3000
2012-01-26,3000
2012-01-27,3500
2012-01-30,3500
2012-01-31,3500
2012-02-01,3500
2012-02-02,3500
2012-02-03,3500
2012-02-06,3500
2012-02-07,3500
2012-02-08,4000
2012-02-09,4000
2012-02-10,4000
2012-02-13,4000
2012-02-14,4000
2012-02-15,4000
2012-02-16,4000
2012-02-17,4000
2012-02-20,4000
2012-02-21,5000
2012-02-22,5500
2012-02-23,5500
2012-02-24,6000
2012-02-27,6500
2012-02-28,7000
2012-02-29,7000
2012-03-02,7500
2012-03-05,7500
2012-03-06,7500
2012-03-07,8500
2012-03-08,9500
2012-03-09,9500
2012-03-12,8500
2012-03-13,8500
2012-03-14,9000
2012-03-15,9000
2012-03-16,9000
2012-03-19,9000
2012-03-20,9000
2012-03-21,10000
2012-03-22,10000
2012-03-23,10000
2012-03-26,10000
2012-03-27,10000
2012-03-28,10000
2012-03-29,10000
2012-03-30,10000
2012-04-02,11000
2012-04-03,11000
2012-04-04,11000
2012-04-05,11000
2012-04-06,11500
2012-04-09,11500
2012-04-10,12000
2012-04-12,12000
2012-04-13,12500
2012-04-16,13000
2012-04-17,13000
2012-04-18,13000
2012-04-19,13000
2012-04-20,13000
2012-04-23,13000
2012-04-24,13000
2012-04-25,13000
2012-04-26,13000
2012-04-27,13000
2012-04-30,13000
2013-01-02,12000
2013-01-03,13000
2013-01-04,13000
2013-01-07,12000
2013-01-08,12000
2013-01-09,12000
2013-01-10,12000
2013-01-11,12000
2013-01-14,12000
2013-01-15,12000
2013-01-16,12000
2013-01-17,12000
2013-01-18,12000
2013-01-21,12000
2013-01-22,12000
2013-01-23,12000
2013-01-24,11000
2013-01-25,11000
2013-01-28,11000
2013-01-29,11000
2013-01-30,11000
2013-01-31,11000
2013-02-01,11000
2013-02-04,11000
2013-02-05,11000
2013-02-06,11000
2013-02-07,12000
2013-02-08,12000
2013-02-12,12000
2013-02-13,12000
2013-02-14,12000
2013-02-15,12000
2013-02-18,12000
2013-02-19,12000
2013-02-20,12000
2013-02-21,12000
2013-02-22,12000
2013-02-25,12000
2013-02-26,12000
2013-02-27,12000
2013-02-28,12000
2013-03-04,12000
2013-03-05,12000
2013-03-06,13000
2013-03-07,13000
2013-03-08,13000
2013-03-11,13000
2013-03-12,13000
2013-03-13,13000
2013-03-14,13000
2013-03-15,13000
2013-03-18,13000
2013-03-19,12000
2013-03-20,12000
2013-03-21,12000
2013-03-22,12000
2013-03-25,12000
2013-03-26,12000
2013-03-27,12000
2013-03-28,12000
2013-03-29,12000
2013-04-01,12000
2013-04-02,12000
2013-04-03,12000
2013-04-04,12000
2013-04-05,12000
2013-04-08,12000
2013-04-09,12000
2013-04-10,12000
2013-04-11,12000
2013-04-12,12000
2013-04-15,11000
2013-04-16,11000
2013-04-17,11000
2013-04-18,11000
2013-04-19,11000
2013-04-22,11000
2013-04-23,11000
2013-04-24,12000
2013-04-25,12000
2013-04-26,12000
2013-04-29,12000
2013-04-30,12000
2014-01-06,5000
2014-01-07,5000
2014-01-08,5000
2014-01-09,5000
2014-01-10,5000
2014-01-13,5000
2014-01-14,5000
2014-01-15,5000
2014-01-16,5000
2014-01-17,4500
2014-01-20,4500
2014-01-21,4500
2014-01-22,4500
2014-01-23,4500
2014-01-24,4500
2014-01-27,4500
2014-01-28,4500
2014-01-29,4000
2014-02-03,4000
2014-02-04,4000
2014-02-05,4000
2014-02-06,4000
2014-02-07,4000
2014-02-10,4000
2014-02-11,3500
2014-02-12,3500
2014-02-13,3500
2014-02-14,3500
2014-02-17,3500
2014-02-18,3500
2014-02-19,3500
2014-02-20,3500
2014-02-21,3500
2014-02-24,3500
2014-02-25,3500
2014-02-26,3500
2014-02-27,3500
2014-02-28,3500
2014-03-03,3500
2014-03-04,3500
2014-03-05,3500
2014-03-06,3500
2014-03-07,3500
2014-03-10,3500
2014-03-11,3500
2014-03-12,3500
2014-03-13,3500
2014-03-14,3500
2014-03-17,3500
2014-03-18,3500
2014-03-19,3500
2014-03-20,3500
2014-03-21,3500
2014-03-24,3500
2014-03-25,3500
2014-03-26,3500
2014-03-27,3500
2014-03-28,3500
2014-03-31,3500
2014-04-01,3500
2014-04-02,3500
2014-04-03,3500
2014-04-04,3500
2014-04-07,3500
2014-04-08,3500
2014-04-09,3500
2014-04-10,3500
2014-04-11,3500
2014-04-14,3500
2014-04-15,3500
2014-04-16,3500
2014-04-17,3500
2014-04-18,3500
2014-04-21,3500
2014-04-22,3500
2014-04-23,3500
2014-04-24,3500
2014-04-25,3500
2014-04-28,3500
2014-04-29,3500
2014-04-30,3500
2015-01-07,3000
2015-01-08,3000
2015-01-09,3000
2015-01-12,3000
2015-01-13,3000
2015-01-14,3000
2015-01-15,3000
2015-01-16,3000
2015-01-19,3000
2015-01-20,3000
2015-01-21,3000
2015-01-22,3000
2015-01-23,3000
2015-01-26,3000
2015-01-27,3000
2015-01-28,3000
2015-01-29,3000
2015-01-30,3000
2015-02-02,3500
2015-02-03,3500
2015-02-04,3500
2015-02-05,3500
2015-02-06,3500
2015-02-09,4000
2015-02-10,4000
2015-02-11,4000
2015-02-12,4000
2015-02-13,4000
2015-02-16,4000
2015-02-17,4000
2015-02-23,4000
2015-02-24,4000
2015-02-25,4000
2015-02-26,4000
2015-02-27,4000
2015-03-02,4000
2015-03-03,4000
2015-03-04,4000
2015-03-05,4000
2015-03-06,4000
2015-03-09,4000
2015-03-10,4000
2015-03-11,4000
2015-03-12,4000
2015-03-13,4000
2015-03-16,4000
2015-03-17,4000
2015-03-18,4500
2015-03-19,4500
2015-03-20,4500
2015-03-23,5000
2015-03-24,5000
2015-03-25,5000
2015-03-26,5000
2015-03-27,5000
2015-03-30,5000
2015-03-31,5000
2015-04-01,5000
2015-04-02,5500
2015-04-03,5500
2015-04-06,5500
2015-04-07,5500
2015-04-08,5500
2015-04-09,5000
2015-04-10,5000
2015-04-13,5000
2015-04-14,5000
2015-04-15,5000
2015-04-16,5000
2015-04-17,5000
2015-04-20,5000
2015-04-21,5000
2015-04-22,5000
2015-04-23,5500
2015-04-24,5500
2015-04-27,6000
2015-04-28,6000
2015-04-29,6000
2015-04-30,6000
2016-01-04,4000
2016-01-05,4500
2016-01-06,4500
2016-01-07,4500
2016-01-08,4500
2016-01-11,4500
2016-01-12,4500
2016-01-13,4500
2016-01-14,4500
2016-01-15,4500
2016-01-18,4500
2016-01-19,4500
2016-01-20,4500
2016-01-21,4500
2016-01-22,4500
2016-01-25,4500
2016-01-26,5500
2016-01-27,7000
2016-01-28,7000
2016-01-29,7000
2016-02-01,7000
2016-02-02,7000
2016-02-03,7000
2016-02-04,7000
2016-02-05,7000
2016-02-11,7000
2016-02-12,7000
2016-02-15,7000
2016-02-16,7000
2016-02-17,7000
2016-02-18,8000
2016-02-19,8000
2016-02-22,8000
2016-02-23,9000
2016-02-24,9000
2016-02-25,9000
2016-02-26,9000
2016-02-29,9000
2016-03-02,10000
2016-03-03,10000
2016-03-04,10000
2016-03-07,10000
2016-03-08,10000
2016-03-09,10000
2016-03-10,10000
2016-03-11,10000
2016-03-14,10000
2016-03-15,10000
2016-03-16,10000
2016-03-17,10000
2016-03-18,10000
2016-03-21,10000
2016-03-22,10000
2016-03-23,10000
2016-03-24,10000
2016-03-25,10000
2016-03-28,10000
2016-03-29,10000
2016-03-30,10000
2016-03-31,10000
2016-04-01,12000
2016-04-04,13000
2016-04-05,14000
2016-04-06,14000
2016-04-07,14000
2016-04-08,14000
2016-04-11,14000
2016-04-12,14000
2016-04-14,14000
2016-04-15,14000
2016-04-18,15000
2016-04-19,15000
2016-04-20,15000
2016-04-21,15000
2016-04-22,15000
2016-04-25,15000
2016-04-26,15000
2016-04-27,15000
2016-04-28,15000
2016-04-29,15000
2017-01-02,8000
2017-01-03,8000
2017-01-04,8000
2017-01-05,8000
2017-01-06,8000
2017-01-09,8000
2017-01-10,8000
2017-01-11,8000
2017-01-12,8000
2017-01-13,8000
2017-01-16,8000
2017-01-17,8000
2017-01-18,8000
2017-01-19,8000
2017-01-20,8000
2017-01-23,8000
2017-01-24,8000
2017-01-25,8000
2017-01-26,8000
2017-01-31,8000
2017-02-01,8000
2017-02-02,8000
2017-02-03,8000
2017-02-06,8000
2017-02-07,8000
2017-02-08,8000
2017-02-09,8000
2017-02-10,8000
2017-02-13,8000
2017-02-14,8000
2017-02-15,8000
2017-02-16,8000
2017-02-17,8000
2017-02-20,8500
2017-02-21,9000
2017-02-22,9000
2017-02-23,9000
2017-02-24,9000
2017-02-27,9000
2017-02-28,9000
2017-03-02,9000
2017-03-03,8000
2017-03-06,8000
2017-03-07,8000
2017-03-08,8000
2017-03-09,8000
2017-03-10,8000
2017-03-13,7500
2017-03-14,7500
2017-03-15,7500
2017-03-16,8500
2017-03-17,8500
2017-03-20,8500
2017-03-21,8500
2017-03-22,8500
2017-03-23,8500
2017-03-24,8500
2017-03-27,8500
2017-03-28,8500
2017-03-29,8500
2017-03-30,8500
2017-03-31,8500
2017-04-03,8500
2017-04-04,8500
2017-04-05,8500
2017-04-06,8500
2017-04-07,8500
2017-04-10,8000
2017-04-11,8000
2017-04-12,7500
2017-04-13,7000
2017-04-14,7000
2017-04-17,7000
2017-04-18,7000
2017-04-19,7000
2017-04-20,7000
2017-04-21,7000
2017-04-24,7000
2017-04-25,6500
2017-04-26,6000
2017-04-27,6000
2017-04-28,6000
2018-01-02,7000
2018-01-03,7000
2018-01-04,7000
2018-01-05,7000
2018-01-08,7000
2018-01-09,7000
2018-01-10,7000
2018-01-11,7000
2018-01-12,6800
2018-01-15,6500
2018-01-16,6500
2018-01-17,6000
2018-01-18,5800
2018-01-19,6000
2018-01-22,6300
2018-01-23,6500
2018-01-24,6300
2018-01-25,6000
2018-01-26,6000
2018-01-29,6000
2018-01-30,6500
2018-01-31,7000
2018-02-01,6800
2018-02-02,8500
2018-02-05,9500
2018-02-06,10000
2018-02-07,10500
2018-02-08,10000
2018-02-09,9500
2018-02-12,9000
2018-02-13,8500
2018-02-14,9000
2018-02-19,7500
2018-02-20,7000
2018-02-21,7000
2018-02-22,7000
2018-02-23,7000
2018-02-26,7500
2018-02-27,8000
2018-02-28,8000
2018-03-02,8000
2018-03-05,8000
2018-03-06,8500
2018-03-07,8500
2018-03-08,8000
2018-03-09,8000
2018-03-12,9000
2018-03-13,8500
2018-03-14,9000
2018-03-15,8500
2018-03-16,8000
2018-03-19,8000
2018-03-20,7500
2018-03-21,8000
2018-03-22,9000
2018-03-23,10000
2018-03-26,10000
2018-03-27,9500
2018-03-28,9000
2018-03-29,8500
2018-03-30,8000
2018-04-02,8000
2018-04-03,8000
2018-04-04,7500
2018-04-05,8000
2018-04-06,7000
2018-04-09,7000
2018-04-10,7500
2018-04-11,7500
2018-04-12,8000
2018-04-13,8000
2018-04-16,8500
2018-04-17,9000
2018-04-18,8000
2018-04-19,7500
2018-04-20,7500
2018-04-23,8000
2018-04-24,8000
2018-04-25,8000
2018-04-26,7500
2018-04-27,7000
2018-04-30,8000
2019-01-02,6000
2019-01-03,6000
2019-01-04,5000
2019-01-07,6000
2019-01-08,5000
2019-01-09,5000
2019-01-10,5000
2019-01-11,5000
2019-01-14,4500
2019-01-15,5000
2019-01-16,5000
2019-01-17,5000
2019-01-18,4500
2019-01-21,5000
2019-01-22,5000
2019-01-23,5000
2019-01-24,4500
2019-01-25,4500
2019-01-28,5000
2019-01-29,5000
2019-01-30,5000
2019-01-31,5000
2019-02-01,4500
2019-02-07,4500
2019-02-08,4000
2019-02-11,4000
2019-02-12,4000
2019-02-13,4000
2019-02-14,4000
2019-02-15,4500
2019-02-18,4000
2019-02-19,4000
2019-02-20,4000
2019-02-21,4000
2019-02-22,4000
2019-02-25,3500
2019-02-26,4000
2019-02-27,4000
2019-02-28,3500
2019-03-04,4000
2019-03-05,4000
2019-03-06,4000
2019-03-07,4000
2019-03-08,4000
2019-03-11,4000
2019-03-12,4000
2019-03-13,4000
2019-03-14,4000
2019-03-15,4000
2019-03-18,4000
2019-03-19,4000
2019-03-20,4000
2019-03-21,3500
2019-03-22,3500
2019-03-25,4000
2019-03-26,4000
2019-03-27,3800
2019-03-28,3800
2019-03-29,3800
2019-04-01,3800
2019-04-02,3600
2019-04-03,3500
2019-04-04,3200
2019-04-05,3200
2019-04-08,3200
2019-04-09,3200
2019-04-10,3200
2019-04-11,3000
2019-04-12,3000
2019-04-15,3000
2019-04-16,3000
2019-04-17,3000
2019-04-18,3000
2019-04-19,3000
2019-04-22,3000
2019-04-23,3000
2019-04-24,3000
2019-04-25,3300
2019-04-26,3500
2019-04-29,3500
2019-04-30,3500
2020-01-02,11000
2020-01-03,11000
2020-01-06,12000
2020-01-07,11000
2020-01-08,10000
2020-01-09,10000
2020-01-10,9000
2020-01-13,10000
2020-01-14,9000
2020-01-15,10000
2020-01-16,9000
2020-01-17,9000
2020-01-20,9000
2020-01-21,10000
2020-01-22,9000
2020-01-23,9000
2020-01-28,9000
2020-01-29,10000
2020-01-30,9000
2020-01-31,9000
2020-02-03,9000
2020-02-04,9000
2020-02-05,9000
2020-02-06,9000
2020-02-07,9000
2020-02-10,9000
2020-02-11,9000
2020-02-12,9000
2020-02-13,10000
2020-02-14,11000
2020-02-17,10000
2020-02-18,11000
2020-02-19,11000
2020-03-02,9000
2020-03-03,9000
2020-03-04,9000
2020-03-05,9000
2020-03-06,10000
2020-03-09,10000
2020-03-10,9000
2020-03-11,9000
2020-03-12,9000
2020-03-13,9000
2020-03-16,9000
2020-03-17,9000
2020-03-18,9000
2020-03-19,9000
2020-03-20,9000
2020-03-23,10000
2020-03-24,9000
2020-03-25,9000
2020-03-26,10000
2020-03-27,10000
2020-03-30,9000
2020-03-31,9000
2020-04-01,9000
2020-04-02,10000
2020-04-03,10000
